Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,CCU,3043.0,IXR,3063.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Birsa Munda Airport,Ranchi,India,23.314300537100003,85.3217010498,Netaji Subhash Chandra Bose International Airport → Birsa Munda Airport,Domestic
6E,2850.0,CCU,3043.0,JAI,3098.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Jaipur International Airport,Jaipur,India,26.8242,75.812202,Netaji Subhash Chandra Bose International Airport → Jaipur International Airport,Domestic
6E,2850.0,CCU,3043.0,MAA,3144.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Netaji Subhash Chandra Bose International Airport → Chennai International Airport,Domestic
6E,2850.0,CCU,3043.0,NAG,3015.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,21.092199325561523,79.04720306396484,Netaji Subhash Chandra Bose International Airport → Dr. Babasaheb Ambedkar International Airport,Domestic
6E,2850.0,CCU,3043.0,PAT,3061.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Lok Nayak Jayaprakash Airport,Patina,India,25.591299057,85.0879974365,Netaji Subhash Chandra Bose International Airport → Lok Nayak Jayaprakash Airport,Domestic
6E,2850.0,CCU,3043.0,PNQ,3017.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Pune Airport,Pune,India,18.58209991455078,73.9197006225586,Netaji Subhash Chandra Bose International Airport → Pune Airport,Domestic
6E,2850.0,CCU,3043.0,RPR,3020.0,,0,320,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Raipur Airport,Raipur,India,21.180401,81.7388,Netaji Subhash Chandra Bose International Airport → Raipur Airport,Domestic
6E,2850.0,CJB,3135.0,BOM,2997.0,,0,320,Coimbatore International Airport,Coimbatore,India,11.029999733,77.0434036255,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Coimbatore International Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,CJB,3135.0,DEL,3093.0,,0,320,Coimbatore International Airport,Coimbatore,India,11.029999733,77.0434036255,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Coimbatore International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,CJB,3135.0,MAA,3144.0,,0,320,Coimbatore International Airport,Coimbatore,India,11.029999733,77.0434036255,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Coimbatore International Airport → Chennai International Airport,Domestic
6E,2850.0,COK,3136.0,BLR,3131.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Cochin International Airport → Kempegowda International Airport,Domestic
6E,2850.0,COK,3136.0,BOM,2997.0,,0,320,Cochin International Airport,Kochi,India,10.152,76.401901,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Cochin International Airport → Chhatrapati Shivaji International Airport,Domestic
